ダウンロードした時刻：2019/01/25 17:08:20

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2005,1,1,曇時々晴,8,1,晴時々曇一時雨,8,1
2005,1,2,曇後晴,8,1,曇時々雨,8,1
2005,1,3,曇後雨,8,1,晴後一時曇,8,1
2005,1,4,曇時々雨一時晴,8,1,曇後一時晴,8,1
2005,1,5,曇一時雨,8,1,曇,8,1
2005,1,6,晴一時曇,8,1,晴時々曇,8,1
2005,1,7,晴時々曇,8,1,晴,8,1
2005,1,8,曇,8,1,晴後時々曇,8,1
2005,1,9,曇,8,1,晴時々曇,8,1
2005,1,10,曇,8,1,曇時々雨,8,1
2005,1,11,雨,8,1,曇,8,1
2005,1,12,曇時々雨,8,1,曇時々雨,8,1
2005,1,13,雨一時曇,8,1,雨時々曇,8,1
2005,1,14,曇時々雨一時晴,8,1,雨時々曇,8,1
2005,1,15,晴時々曇,8,1,晴時々曇,8,1
2005,1,16,晴時々雨,8,1,曇時々晴,8,1
2005,1,17,晴時々曇,8,1,晴後一時曇,8,1
2005,1,18,晴時々曇,8,1,曇一時晴,8,1
2005,1,19,晴時々曇,8,1,晴時々曇,8,1
2005,1,20,曇,8,1,曇,8,1
2005,1,21,晴時々曇,8,1,曇一時晴,8,1
2005,1,22,晴時々曇,8,1,曇時々晴,8,1
2005,1,23,晴,8,1,晴時々曇一時雨,8,1
2005,1,24,晴時々曇,8,1,晴,8,1
2005,1,25,曇時々雨,8,1,薄曇時々晴,8,1
2005,1,26,曇時々晴,8,1,曇一時晴,8,1
2005,1,27,曇後一時雨,8,1,曇時々晴,8,1
2005,1,28,曇時々雨一時晴,8,1,曇時々晴,8,1
2005,1,29,晴時々曇,8,1,晴,8,1
2005,1,30,雨後一時曇,8,1,曇,8,1
2005,1,31,曇一時雨,8,1,曇時々晴,8,1
2005,2,1,曇時々晴一時雨,8,1,曇時々晴,8,1
2005,2,2,曇一時晴,8,1,晴時々曇,8,1
2005,2,3,晴,8,1,晴時々曇,8,1
2005,2,4,曇時々雨,8,1,曇時々晴,8,1
2005,2,5,曇時々晴,8,1,晴時々曇,8,1
2005,2,6,晴,8,1,晴一時曇,8,1
2005,2,7,雨後時々曇,8,1,晴後時々曇,8,1
2005,2,8,曇時々晴,8,1,晴時々曇,8,1
2005,2,9,晴後一時曇,8,1,晴,8,1
2005,2,10,曇時々雨,8,1,晴後曇一時雨,8,1
2005,2,11,曇時々雨,8,1,曇,8,1
2005,2,12,曇一時晴,8,1,大雨,8,1
2005,2,13,曇時々晴,8,1,曇後晴,8,1
2005,2,14,晴時々曇,8,1,晴後時々曇,8,1
2005,2,15,晴,8,1,曇時々晴,8,1
2005,2,16,曇時々晴,8,1,晴,8,1
2005,2,17,晴時々曇一時雨,8,1,晴,8,1
2005,2,18,曇時々晴一時雨,8,1,曇一時雨,8,1
2005,2,19,曇時々雨,8,1,雨時々曇,8,1
2005,2,20,雨一時曇,8,1,雨時々曇,8,1
2005,2,21,雨時々曇,8,1,曇一時雨,8,1
2005,2,22,雨,8,1,雨一時曇,8,1
2005,2,23,曇時々晴,8,1,曇時々雨,8,1
2005,2,24,曇時々晴一時雨,8,1,晴後時々薄曇,8,1
2005,2,25,曇後晴,8,1,曇,8,1
2005,2,26,曇時々雨,8,1,曇時々雨,8,1
2005,2,27,曇,8,1,曇時々雨一時晴,8,1
2005,2,28,曇時々雨一時晴,8,1,曇後雨,8,1
2005,3,1,晴時々曇,8,1,晴時々曇,8,1
2005,3,2,曇後雨,8,1,曇一時晴,8,1
2005,3,3,曇時々雨,8,1,雨一時曇,8,1
