ダウンロードした時刻：2019/01/25 16:24:30

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2018,1,1,晴,8,1,晴,8,1
2018,1,2,晴,8,1,快晴,8,1
2018,1,3,快晴,8,1,快晴,8,1
2018,1,4,晴後曇,8,1,快晴,8,1
2018,1,5,晴一時曇,8,1,曇一時雨,8,1
2018,1,6,晴,8,1,晴,8,1
2018,1,7,曇,8,1,晴一時薄曇,8,1
2018,1,8,雨一時曇,8,1,曇時々雨、みぞれを伴う,8,1
2018,1,9,快晴,8,1,曇後晴,8,1
2018,1,10,快晴,8,1,快晴,8,1
2018,1,11,快晴,8,1,晴,8,1
2018,1,12,晴一時曇,8,1,晴,8,1
2018,1,13,快晴,8,1,快晴,8,1
2018,1,14,快晴,8,1,快晴,8,1
2018,1,15,晴,8,1,晴時々薄曇,8,1
2018,1,16,晴時々曇,8,1,晴時々薄曇,8,1
2018,1,17,雨後晴,8,1,曇後雨,8,1
2018,1,18,薄曇時々晴,8,1,晴後曇,8,1
2018,1,19,曇後一時雨,8,1,晴後曇,8,1
2018,1,20,晴,8,1,曇後晴,8,1
2018,1,21,薄曇時々晴,8,1,晴,8,1
2018,1,22,大雪後曇,8,1,大雪一時曇,8,1
2018,1,23,晴一時薄曇,8,1,快晴,8,1
2018,1,24,快晴,8,1,晴,8,1
2018,1,25,快晴,8,1,快晴,8,1
2018,1,26,快晴,8,1,晴一時曇,8,1
2018,1,27,快晴,8,1,快晴,8,1
2018,1,28,晴一時薄曇,8,1,曇時々晴一時雪,8,1
2018,1,29,晴時々曇,8,1,晴後一時曇,8,1
2018,1,30,晴,8,1,晴時々曇,8,1
2018,1,31,薄曇一時晴,8,1,晴後薄曇,8,1
2018,2,1,雨後雪,8,1,薄曇後雨,8,1
2018,2,2,曇時々雨,8,1,雪後みぞれ時々曇,8,1
2018,2,3,曇時々晴,8,1,薄曇時々晴,8,1
2018,2,4,快晴,8,1,晴時々曇、みぞれを伴う,8,1
2018,2,5,快晴,8,1,晴,8,1
2018,2,6,晴一時曇,8,1,晴後一時曇,8,1
2018,2,7,快晴,8,1,快晴,8,1
2018,2,8,快晴,8,1,晴,8,1
2018,2,9,晴後薄曇,8,1,晴,8,1
2018,2,10,雨時々曇,8,1,薄曇時々晴,8,1
2018,2,11,晴時々曇,8,1,曇一時晴,8,1
2018,2,12,快晴,8,1,晴,8,1
2018,2,13,快晴,8,1,晴後一時曇,8,1
2018,2,14,晴時々薄曇,8,1,晴,8,1
2018,2,15,薄曇,8,1,薄曇時々晴,8,1
2018,2,16,曇,8,1,曇一時晴,8,1
2018,2,17,快晴,8,1,晴一時雨,8,1
2018,2,18,薄曇一時晴,8,1,晴,8,1
2018,2,19,曇後一時晴,8,1,晴時々薄曇,8,1
2018,2,20,薄曇一時晴,8,1,晴,8,1
2018,2,21,曇後雨、みぞれを伴う,8,1,曇,8,1
2018,2,22,雨後みぞれ一時曇,8,1,みぞれ一時雪、あられを伴う,8,1
2018,2,23,快晴,8,1,みぞれ一時曇後晴,8,1
2018,2,24,晴後時々薄曇,8,1,晴,8,1
2018,2,25,曇一時雨,8,1,曇,8,1
2018,2,26,曇一時晴,8,1,曇後晴,8,1
2018,2,27,快晴,8,1,晴一時曇,8,1
2018,2,28,曇後大雨,8,1,薄曇,8,1
2018,3,1,快晴,8,1,曇一時雨後晴、雷を伴う,8,1
2018,3,2,快晴,8,1,晴,8,1
2018,3,3,薄曇後晴,8,1,晴後時々薄曇,8,1
2018,3,4,晴後曇,8,1,快晴,8,1
2018,3,5,雨後時々曇,8,1,曇時々雨,8,1
2018,3,6,晴一時曇,8,1,曇後晴,8,1
2018,3,7,曇時々雨,8,1,曇,8,1
