ダウンロードした時刻：2019/01/25 17:34:03

,,,稚内,稚内,稚内,稚内,稚内,稚内
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2007,1,1,曇一時晴,8,1,晴後薄曇,8,1
2007,1,2,晴一時曇,8,1,晴時々曇後一時雪,8,1
2007,1,3,曇後時々雪,8,1,晴一時曇,8,1
2007,1,4,晴一時雪,8,1,晴時々雪,8,1
2007,1,5,晴,8,1,晴,8,1
2007,1,6,曇後雨一時みぞれ,8,1,薄曇,8,1
2007,1,7,雪、大風を伴う,8,1,雪一時みぞれ、大風を伴う,8,1
2007,1,8,雪後一時曇,8,1,雪、大風を伴う,8,1
2007,1,9,雪時々曇後一時晴,8,1,雪後一時曇,8,1
2007,1,10,雪,8,1,雪一時曇,8,1
2007,1,11,雪時々曇,8,1,雪,8,1
2007,1,12,雪,8,1,雪時々曇,8,1
2007,1,13,曇時々雪,8,1,雪時々曇,8,1
2007,1,14,雪時々曇一時晴,8,1,雪一時曇,8,1
2007,1,15,雪一時曇,8,1,雪一時曇,8,1
2007,1,16,曇後時々雪,8,1,雪時々晴,8,1
2007,1,17,晴時々曇,8,1,晴時々雪,8,1
2007,1,18,雪時々曇,8,1,雪,8,1
2007,1,19,曇時々雪、あられを伴う,8,1,雪後一時曇,8,1
2007,1,20,曇一時雪後晴,8,1,曇時々雪,8,1
2007,1,21,晴,8,1,晴,8,1
2007,1,22,曇時々雪一時晴,8,1,晴後曇,8,1
2007,1,23,雪時々晴,8,1,雪後一時晴,8,1
2007,1,24,曇時々雪,8,1,雪時々曇一時晴,8,1
2007,1,25,晴時々雪,8,1,雪時々曇一時晴,8,1
2007,1,26,雪時々晴,8,1,雪時々晴,8,1
2007,1,27,雪,8,1,雪,8,1
2007,1,28,晴,8,1,晴,8,1
2007,1,29,雪後曇一時晴,8,1,曇一時晴後雪,8,1
2007,1,30,雪後曇,8,1,曇時々雪,8,1
2007,1,31,雪一時曇,8,1,雪時々曇,8,1
2007,2,1,曇時々雪,8,1,雪時々曇,8,1
2007,2,2,曇時々雪後一時晴,8,1,曇時々雪,8,1
2007,2,3,雪一時みぞれ、雷を伴う,8,1,晴後みぞれ時々曇,8,1
2007,2,4,曇時々雪後一時晴,8,1,雪一時ふぶき,8,1
2007,2,5,曇,8,1,晴後曇時々みぞれ,8,1
2007,2,6,雪後曇,8,1,曇時々雪,8,1
2007,2,7,雪時々曇,8,1,晴時々曇一時雪,8,1
2007,2,8,雪時々曇,8,1,雪一時晴後曇,8,1
2007,2,9,晴,8,1,晴一時雪,8,1
2007,2,10,雪時々曇,8,1,晴後曇,8,1
2007,2,11,雪時々曇,8,1,曇時々雪,8,1
2007,2,12,雪後時々曇,8,1,雪,8,1
2007,2,13,雪後時々晴,8,1,雪時々晴,8,1
2007,2,14,雪一時曇、ふぶきを伴う,8,1,晴後薄曇,8,1
2007,2,15,雪後時々曇、大風を伴う,8,1,雪,8,1
2007,2,16,曇後一時雪,8,1,雪時々曇,8,1
2007,2,17,曇時々雪,8,1,雪時々曇,8,1
2007,2,18,曇時々雪後晴,8,1,曇一時晴後雪,8,1
2007,2,19,雪時々曇,8,1,曇時々雪,8,1
2007,2,20,曇一時雪,8,1,曇時々雪,8,1
2007,2,21,曇後晴,8,1,雪後曇一時晴,8,1
2007,2,22,曇,8,1,晴後曇,8,1
2007,2,23,大雪一時曇,8,1,雨後雪時々曇,8,1
2007,2,24,曇時々雪後一時晴,8,1,晴時々雪,8,1
2007,2,25,晴,8,1,晴,8,1
2007,2,26,晴後曇一時雪,8,1,晴後一時薄曇,8,1
2007,2,27,曇一時晴後時々雪,8,1,雪後晴,8,1
2007,2,28,曇時々雪,8,1,雪時々曇,8,1
